BX = 000 Event : 1
5 0 0010101|101|0000 0x0AD0
5 1 0010110|010|0001 0x0B21
BX = 110 Event : 15
1 0 0101011|010|0000 0x15A0
1 1 0101100|010|0010 0x1622
2 0 0100001|110|0111 0x10E7
2 1 0110001|011|0100 0x18B4
3 0 0000001|010|0010 0x00A2
3 1 0000010|111|0111 0x0177
4 0 0000101|111|0001 0x02F1
4 1 0000110|010|0001 0x0321
4 2 0000111|010|0010 0x03A2
4 3 0001010|101|0010 0x0552
6 0 0010110|011|0000 0x0B30
BX = 111 Event : 16
0 0 1001010|110|0000 0x2560
1 0 1001110|101|0100 0x2754
1 1 1001111|111|0101 0x27F5
2 0 0000000|000|0110 0x0006
2 1 0000001|000|0111 0x0087
2 2 0000010|011|0111 0x0137
2 3 1010010|011|0001 0x2931
3 0 0000100|010|0000 0x0220
3 1 0010100|100|0101 0x0A45
3 2 0010110|101|0110 0x0B56
3 3 0010111|110|0111 0x0BE7
3 4 0011000|101|0111 0x0C57
4 0 0011010|011|0011 0x0D33
5 0 0011110|101|0000 0x0F50
BX = 000 Event : 17
1 0 0100011|010|0110 0x11A6
2 0 0101100|101|0110 0x1656
2 1 0101110|010|0110 0x1726
3 0 0000011|010|0110 0x01A6
4 0 0000101|110|0000 0x02E0
4 1 0001100|101|0100 0x0654
BX = 001 Event : 18
0 0 0011100|101|0111 0x0E57
2 0 0101100|110|0110 0x1666
3 0 0000100|011|0100 0x0234
6 0 0001110|111|0011 0x0773
6 1 0001111|111|0101 0x07F5
6 2 0010000|111|0101 0x0875
BX = 010 Event : 19
0 0 0111001|010|0101 0x1CA5
1 0 1000000|010|0111 0x2027
3 0 0000010|010|0000 0x0120
3 1 0000011|011|0010 0x01B2
3 2 0000111|010|0101 0x03A5
5 0 0010110|111|0100 0x0B74
BX = 011 Event : 20
2 0 0101100|011|0100 0x1634
3 0 0000000|001|0000 0x0010
4 0 0000110|001|0010 0x0312
4 1 0000111|001|0100 0x0394
4 2 0001000|010|0110 0x0426
4 3 0001010|101|0110 0x0556
4 4 0001011|101|0110 0x05D6
4 5 0001100|101|0110 0x0656
7 0 0011011|010|0100 0x0DA4
7 1 0011100|010|0100 0x0E24
BX = 100 Event : 21
2 0 0110101|011|0100 0x1AB4
2 1 0110110|011|0100 0x1B34
4 0 0000111|101|0000 0x03D0
4 1 0001001|001|0100 0x0494
5 0 0010000|011|0010 0x0832
7 0 0011111|001|0111 0x0F97
7 1 0100000|000|0111 0x1007
BX = 101 Event : 22
0 0 0101011|101|0101 0x15D5
2 0 0110100|111|0000 0x1A70
3 0 0000000|010|0000 0x0020
3 1 0000010|000|0010 0x0102
3 2 0000011|001|0010 0x0192
3 3 0000100|000|0010 0x0202
3 4 0000101|101|0010 0x02D2
3 5 0000110|011|0010 0x0332
3 6 0000111|110|0011 0x03E3
4 0 0001011|001|0000 0x0590
4 1 0001111|010|0101 0x07A5
6 0 0010010|011|0000 0x0930
7 0 0011010|000|0010 0x0D02
7 1 0011100|101|0100 0x0E54
BX = 110 Event : 23
1 0 1000001|110|0000 0x20E0
1 1 1000010|010|0000 0x2120
1 2 1000100|000|0110 0x2206
2 0 1000101|011|0001 0x22B1
2 1 1000110|110|0100 0x2364
3 0 0000111|011|0010 0x03B2
4 0 0010010|100|0010 0x0942
4 1 0010011|100|0011 0x09C3
5 0 0011001|101|0001 0x0CD1
5 1 0011110|001|0010 0x0F12
5 2 0100111|011|0111 0x13B7
7 0 0101101|010|0001 0x16A1
BX = 111 Event : 24
0 0 0101111|001|0011 0x1793
2 0 0110111|110|0100 0x1BE4
3 0 0000110|100|0111 0x0347
4 0 0001000|000|0000 0x0400
4 1 0001011|000|0000 0x0580
4 2 0001100|000|0000 0x0600
4 3 0010010|000|0011 0x0903
7 0 0100001|001|0010 0x1092
7 1 0100010|110|0010 0x1162
7 2 0100011|101|0010 0x11D2
7 3 0100100|110|0010 0x1262
7 4 0100111|010|0111 0x13A7
BX = 000 Event : 25
3 0 0000010|001|0010 0x0112
3 1 0001000|101|0100 0x0454
3 2 0001010|010|0101 0x0525
4 0 0001101|110|0110 0x06E6
4 1 0001110|100|0110 0x0746
4 2 0010000|011|0111 0x0837
5 0 0011011|011|0111 0x0DB7
BX = 001 Event : 26
1 0 0111011|100|0110 0x1DC6
1 1 1000001|011|0110 0x20B6
1 2 1000011|011|0111 0x21B7
2 0 1000110|100|0011 0x2343
3 0 0000011|110|0000 0x01E0
3 1 0001001|110|0100 0x04E4
3 2 0001010|111|0100 0x0574
3 3 0101111|110|0100 0x17E4
4 0 0001111|101|0001 0x07D1
4 1 0010000|101|0001 0x0851
4 2 0010011|101|0110 0x09D6
6 0 0011011|110|0001 0x0DE1
6 1 0011111|011|0011 0x0FB3
6 2 0100000|101|0101 0x1055
6 3 0100001|101|0101 0x10D5
BX = 010 Event : 27
1 0 1000000|000|0000 0x2000
3 0 0000101|001|0010 0x0292
3 1 0000110|010|0011 0x0323
4 0 0010010|001|0001 0x0911
4 1 0010011|000|0010 0x0982
4 2 0010101|011|0010 0x0AB2
4 3 0010111|000|0010 0x0B82
4 4 0011100|100|0100 0x0E44
4 5 0011101|001|0101 0x0E95
