BX = 000 Event : 1
0x07 0011100|0000011 0x0E03
0x08 0011100|0000111 0x0E07
0x09 0011100|0001000 0x0E08
0x0a 0011100|0100001 0x0E21
0x0b 0011100|0001010 0x0E0A
0x0c 0100010|0100001 0x1121
0x0d 0100010|0001010 0x110A
BX = 000 Event : 65
BX = 001 Event : 66
0x00 0011011|0000110 0x0D86
0x01 0011011|0001010 0x0D8A
0x02 0011011|0010001 0x0D91
0x03 0011100|0001010 0x0E0A
0x04 0011100|0010001 0x0E11
0x05 0100001|0000011 0x1083
0x06 0100001|0000100 0x1084
0x07 0100001|0000101 0x1085
0x08 0100001|0000110 0x1086
0x09 0100001|0001010 0x108A
0x0a 0100110|0000011 0x1303
0x0b 0100110|0000100 0x1304
0x0c 0100110|0000101 0x1305
0x0d 0100110|0000110 0x1306
0x0e 0100110|0001010 0x130A
0x0f 0100111|0000011 0x1383
0x10 0100111|0000100 0x1384
0x11 0100111|0000101 0x1385
0x12 0100111|0000110 0x1386
0x13 0100111|0001010 0x138A
0x14 0101000|0010001 0x1411
0x15 0101001|0010001 0x1491
0x16 0101010|0010001 0x1511
0x17 0101100|0101010 0x162A
0x18 0101101|0000110 0x1686
0x19 0101101|0001010 0x168A
0x1a 0101101|0010001 0x1691
0x1b 1011101|0000110 0x2E86
0x1c 1011101|0001010 0x2E8A
0x1d 1011101|0010001 0x2E91
0x1e 1011110|0000011 0x2F03
0x1f 1011110|0000100 0x2F04
0x20 1011110|0000101 0x2F05
0x21 1011110|0000110 0x2F06
0x22 1011110|0001010 0x2F0A
0x23 1011110|0010001 0x2F11
BX = 010 Event : 67
0x00 0011100|0001101 0x0E0D
0x01 0011100|0010010 0x0E12
0x02 0011100|0010011 0x0E13
0x03 0011100|0010101 0x0E15
0x04 0011100|0011110 0x0E1E
0x05 0011100|0110110 0x0E36
0x06 0011101|0010101 0x0E95
0x07 0011101|0011110 0x0E9E
BX = 011 Event : 68
0x00 0101010|0001001 0x1509
0x01 0101010|0001010 0x150A
0x02 0101010|0001110 0x150E
0x03 0101010|0010000 0x1510
0x04 0101010|0010010 0x1512
0x05 0101011|0000000 0x1580
0x06 0101011|1010110 0x15D6
0x07 0101100|0000000 0x1600
0x08 0101100|1010110 0x1656
0x09 0110001|0000000 0x1880
0x0a 0110001|1010110 0x18D6
0x0b 0110010|1010110 0x1956
0x0c 1000001|0000000 0x2080
0x0d 1000001|0000001 0x2081
0x0e 1000011|0000000 0x2180
0x0f 1000011|0000001 0x2181
0x10 1000011|0000111 0x2187
0x11 1000011|0001000 0x2188
0x12 1001001|0000000 0x2480
0x13 1001001|0000001 0x2481
0x14 1001001|0000111 0x2487
0x15 1001001|0001000 0x2488
0x16 1001101|0000000 0x2680
0x17 1001101|0000001 0x2681
0x18 1011001|0000000 0x2C80
0x19 1011001|0000001 0x2C81
0x1a 1011001|1010100 0x2CD4
0x1b 1011001|0000111 0x2C87
0x1c 1011001|0001000 0x2C88
0x1d 1011001|0010001 0x2C91
0x1e 1011001|0010010 0x2C92
0x1f 1011001|0010011 0x2C93
0x20 1011011|0000000 0x2D80
0x21 1011011|1010100 0x2DD4
0x22 1011011|0001000 0x2D88
0x23 1011011|0001001 0x2D89
0x24 1011011|0001010 0x2D8A
0x25 1011011|0001110 0x2D8E
BX = 100 Event : 69
BX = 101 Event : 70
0x00 0000101|0110000 0x02B0
0x01 0000110|0110000 0x0330
0x02 0001101|0000010 0x0682
0x03 0001110|0000010 0x0702
0x04 0001110|0000011 0x0703
0x05 0010010|0000010 0x0902
0x06 0010011|0000010 0x0982
BX = 110 Event : 71
0x00 0001010|0010111 0x0517
0x01 0001011|0010111 0x0597
0x02 0011001|1000011 0x0CC3
0x03 0011010|1000011 0x0D43
0x04 1001100|0000001 0x2601
0x05 1001100|0001010 0x260A
0x06 1001100|0001111 0x260F
0x07 1001100|0010000 0x2610
BX = 111 Event : 72
BX = 000 Event : 73
0x00 0000111|0100100 0x03A4
0x01 0010000|0001011 0x080B
0x02 0010000|0001101 0x080D
0x03 0010011|0100010 0x09A2
0x04 0010100|0100010 0x0A22
0x05 0011100|0001101 0x0E0D
0x06 0101001|0001001 0x1489
0x07 0101001|0001101 0x148D
0x08 0101010|0001001 0x1509
0x09 0101010|0001101 0x150D
BX = 001 Event : 74
BX = 010 Event : 75
0x00 0000010|0001101 0x010D
0x01 0001101|0001101 0x068D
BX = 011 Event : 76
0x00 0000101|0001111 0x028F
0x01 0000110|0001111 0x030F
0x02 0000111|0001111 0x038F
0x03 0001000|0011011 0x041B
0x04 0001000|0011101 0x041D
0x05 0001000|0011110 0x041E
0x06 0010001|0011000 0x0898
0x07 0010001|0011010 0x089A
0x08 0010001|0011011 0x089B
0x09 0010001|0011101 0x089D
0x0a 0010001|0011110 0x089E
0x0b 0010010|0011000 0x0918
0x0c 0010010|0011010 0x091A
0x0d 0010010|0011011 0x091B
0x0e 0010010|0011101 0x091D
0x0f 0010010|0011110 0x091E
0x10 0010100|0101011 0x0A2B
0x11 0010100|0101100 0x0A2C
0x12 0010101|0101011 0x0AAB
0x13 0010101|0101100 0x0AAC
0x14 0010110|0101011 0x0B2B
0x15 0010110|0101100 0x0B2C
0x16 0011101|0101001 0x0EA9
0x17 0100011|0001011 0x118B
0x18 0100011|0001111 0x118F
0x19 0100011|0010000 0x1190
0x1a 0100100|0001011 0x120B
0x1b 0100100|0001111 0x120F
0x1c 0100100|0010000 0x1210
BX = 100 Event : 77
0x00 0000010|0100001 0x0121
0x01 0000011|0100001 0x01A1
0x02 0011000|0000101 0x0C05
0x03 0011000|0001010 0x0C0A
BX = 101 Event : 78
0x00 0000111|0010000 0x0390
0x01 0001000|0010000 0x0410
0x02 0010110|0010000 0x0B10
0x03 0100111|0001101 0x138D
0x04 0110001|0001101 0x188D
BX = 110 Event : 79
0x00 0000100|0001101 0x020D
0x01 0000101|0100011 0x02A3
0x02 0000110|0100011 0x0323
BX = 111 Event : 80
BX = 000 Event : 81
0x00 0001111|0001011 0x078B
0x01 0001111|0001101 0x078D
0x02 0001111|0110010 0x07B2
0x03 0010010|0110010 0x0932
0x04 0010011|0111100 0x09BC
0x05 0010011|0111101 0x09BD
0x06 0101111|1001011 0x17CB
0x07 0110010|1001011 0x194B
BX = 001 Event : 82
0x00 0010111|1000000 0x0BC0
0x01 0011111|0101110 0x0FAE
0x02 0100000|0101110 0x102E
BX = 010 Event : 83
0x00 0111001|0111000 0x1CB8
0x01 0111001|0111001 0x1CB9
0x02 0111100|0111000 0x1E38
0x03 0111100|0111001 0x1E39
BX = 011 Event : 84
BX = 100 Event : 85
0x00 0001010|0001001 0x0509
0x01 0100101|0010110 0x1296
BX = 101 Event : 86
0x00 0000101|0100011 0x02A3
0x01 0001111|0000010 0x0782
0x02 0010000|0000010 0x0802
BX = 110 Event : 87
0x00 0101001|0010000 0x1490
0x01 0101010|0010000 0x1510
BX = 111 Event : 88
0x00 0000111|0101111 0x03AF
0x01 0001000|0101111 0x042F
0x02 0001010|0101111 0x052F
0x03 0001011|0101111 0x05AF
0x04 0001100|0000011 0x0603
0x05 0001101|0000011 0x0683
0x06 0001110|0000011 0x0703
0x07 0011111|0000011 0x0F83
0x08 0101110|0010011 0x1713
0x09 0101111|0010011 0x1793
0x0a 0111101|0101111 0x1EAF
BX = 000 Event : 89
0x00 0010000|0100110 0x0826
0x01 0010001|0100110 0x08A6
0x02 0010101|0000000 0x0A80
0x03 0010110|0000000 0x0B00
0x04 0010111|0000000 0x0B80
BX = 001 Event : 90
0x00 0100100|0110010 0x1232
0x01 0100100|0110011 0x1233
0x02 0100101|0110010 0x12B2
0x03 0100101|0110011 0x12B3
0x04 0100111|0110001 0x13B1
0x05 0100111|0110101 0x13B5
BX = 010 Event : 91
0x00 0010001|0011110 0x089E
0x01 0010100|0010011 0x0A13
0x02 0010101|0000011 0x0A83
0x03 0010101|0000100 0x0A84
0x04 0010101|0000110 0x0A86
0x05 0011110|0101100 0x0F2C
0x06 0011111|0101100 0x0FAC
0x07 0100101|0011000 0x1298
0x08 0100110|0110110 0x1336
0x09 0100111|0110110 0x13B6
0x0a 0101000|0110110 0x1436
0x0b 0111000|0001101 0x1C0D
0x0c 0111000|0010011 0x1C13
BX = 011 Event : 92
0x00 0000011|0000111 0x0187
0x01 0100001|0111110 0x10BE
BX = 100 Event : 93
BX = 101 Event : 94
0x00 0000001|0000110 0x0086
0x01 0000001|0000111 0x0087
0x02 0000001|0001000 0x0088
0x03 0000001|0001010 0x008A
0x04 0010000|0011000 0x0818
0x05 0010001|0011000 0x0898
0x06 0010010|0011000 0x0918
