BX 000 Event : 1
00|0011101|01000010|00100001111011111|1000 0x03A8443DF8
00|0011110|01001000|00101110000001000|1000 0x03C905C088
00|0011001|01001100|00101110000100111|0000 0x032985C270
00|0011001|01100001|00101011010001111|0110 0x032C2568F6
00|1101000|00001000|01011010110011010|1010 0x0D010B59AA
00|1100111|00001000|01011100000101111|0000 0x0CE10B82F0
00|1100111|00001000|01011100001101001|1100 0x0CE10B869C
00|1100111|00011110|01100111111000110|1001 0x0CE3CCFC69
00|1100111|01001000|01100011101110001|1100 0x0CE90C771C
00|1100011|01010010|01100111111111000|0000 0x0C6A4CFF80
00|1100010|01010010|01100011001110110|1000 0x0C4A4C6768
00|1100010|01010010|01011111101011100|0000 0x0C4A4BF5C0
00|1101000|01010111|01011011000100010|1000 0x0D0AEB6228
00|1100111|01010111|01011101000100011|1001 0x0CEAEBA239
00|1101000|01010111|01101001010110101|0000 0x0D0AED2B50
00|1101000|01010111|01101011011101010|0000 0x0D0AED6EA0
00|1100111|01011101|01100010001111100|1010 0x0CEBAC47CA
00|1100010|01100001|01100001111110011|1001 0x0C4C2C3F39
00|1101000|01101100|01011000011111100|0100 0x0D0D8B0FC4
BX 011 Event : 4
01|0000000|1110010|00001010011111|1001|0100 0x101C829F94
01|0000001|1011100|00110011101100|1110|0001 0x10370CECE1
01|0000000|1011100|01001010110100|0111|1001 0x101712B479
01|0000001|1110010|01011110101100|0011|1010 0x103C97AC3A
01|0000000|1110010|01100010001010|0100|1011 0x101C988A4B
01|0000000|1110010|01100110010110|0110|1011 0x101C99966B
01|0000000|1011100|01101111110101|1110|0011 0x10171BF5E3
01|0000000|1011100|01100111000101|1010|1011 0x101719C5AB
01|0000011|0001110|00100001100101|0100|1000 0x1063886548
01|0000010|0001110|00100000111100|0100|0010 0x1043883C42
01|0000011|0100100|00101011111011|1011|0001 0x10690AFBB1
01|0000010|0001110|01010101000110|0010|0001 0x1043954621
01|0000010|0100100|01110111010100|0101|1010 0x10491DD45A
01|0000100|1011100|00010001110000|1110|0001 0x10970470E1
01|0000101|1110010|01100001000000|0000|0001 0x10BC984001
01|0000111|0100100|00101010111100|0001|1010 0x10E90ABC1A
01|0001000|1110010|00010100001100|0001|1010 0x111C850C1A
01|0001001|1110010|01011011101010|1010|0010 0x113C96EAA2
01|0001001|1011100|01110101000111|1110|1100 0x11371D47EC
00|0011000|00111101|00100011011111111|1100 0x0307A46FFC
00|1100111|00000011|01100100111111100|0001 0x0CE06C9FC1
00|1100111|00000011|01100101000110110|0001 0x0CE06CA361
00|1100111|00000011|01100101110000001|0100 0x0CE06CB814
00|1100111|00000011|01100101110100001|0001 0x0CE06CBA11
00|1100111|00000011|01100101111000110|1001 0x0CE06CBC69
00|1100100|00001101|01101011101010100|1001 0x0C81AD7549
00|1100100|00001101|01101011100111111|1011 0x0C81AD73FB
00|1100100|00010011|01101011101100100|1000 0x0C826D7648
00|1100100|00010011|01101011100111111|0000 0x0C826D73F0
00|1101000|00011000|01101011100011110|0011 0x0D030D71E3
00|1101000|00011000|01101011100111000|0001 0x0D030D7381
00|1101000|00011110|01101011101001000|0100 0x0D03CD7484
00|1101000|00011110|01101011101101000|0001 0x0D03CD7681
00|1100100|01010010|01101011001010011|1100 0x0C8A4D653C
00|1101000|01010111|01010111101100011|1000 0x0D0AEAF638
