BX 000 Event : 1
01|0000100|0100100|11011111010010|0011|0011 0x108937D233
01|0000101|0001110|11100111000010|1010|0011 0x10A3B9C2A3
01|0000100|0001110|11101010010111|1100|1001 0x1083BA97C9
01|0000110|1110010|10011011001010|0011|0100 0x10DCA6CA34
01|0000110|1011100|10101101000000|0000|0001 0x10D72B4001
01|0000111|1011100|11111100000100|1100|0001 0x10F73F04C1
01|0001001|0100100|10000001011001|0110|0000 0x1129205960
01|0001000|0001110|10001000001101|1101|1001 0x1103A20DD9
01|0001001|0100100|11101011100110|1001|0011 0x11293AE693
01|0001000|0100100|11111101010100|0110|1011 0x11093F546B
00|1100011|10111001|10000001101010011|0100 0x0C77303534
00|1100111|11101110|10000100101110101|0011 0x0CFDD09753
00|1100111|10000101|11011000100001001|0001 0x0CF0BB1091
00|1101000|10001011|11100100110111010|1010 0x0D117C9BAA
00|1100010|10010110|11011001011010001|0001 0x0C52DB2D11
00|1100010|10100101|11011000110100000|0011 0x0C54BB1A03
00|1100111|10110100|11011100011000111|0110 0x0CF69B8C76
00|1100010|10111001|11011001000001001|0011 0x0C573B2093
00|1100010|11001110|11010111111011010|0010 0x0C59DAFDA2
00|1100010|11010011|11010111101010111|0011 0x0C5A7AF573
00|1100111|11011110|11010111110011111|0111 0x0CFBDAF9F7
00|1100010|11111000|11010110100110011|0000 0x0C5F1AD330
BX 010 Event : 3
01|0000001|0001110|10000101000010|1001|0000 0x1023A14290
01|0000000|0001110|10011011010010|0011|0010 0x1003A6D232
01|0000000|0001110|10011011001011|0011|1000 0x1003A6CB38
01|0000001|0001110|11001111100110|0000|1000 0x1023B3E608
01|0000000|0001110|11010000111101|0000|0010 0x1003B43D02
01|0000011|1110010|10111101011111|1110|0011 0x107CAF5FE3
01|0000010|1110010|11111000001111|0000|0011 0x105CBE0F03
01|0000100|0001110|10010110001011|0011|1011 0x1083A58B3B
01|0000100|0100100|10101100111111|0010|0000 0x10892B3F20
01|0000100|0001110|10111101000001|1110|0010 0x1083AF41E2
01|0000100|0100100|11011011001010|0000|1010 0x108936CA0A
01|0000111|1110010|11110100001000|0101|0010 0x10FCBD0852
01|0001000|0100100|11110011111000|0000|0010 0x11093CF802
00|1101000|11000011|10000000000010101|1011 0x0D1870015B
00|1101000|11000011|10000000111000100|1011 0x0D18701C4B
