BX = 000 Event : 1
0x05 0011111|0011011 0x0F9B
0x06 0110000|1000001 0x1841
0x07 0111001|1001011 0x1CCB
BX = 111 Event : 72
0x00 0100110|1000101 0x1345
0x01 0100110|1001001 0x1349
0x02 0100110|1001100 0x134C
BX = 000 Event : 73
BX = 001 Event : 74
0x00 0010001|1001010 0x08CA
BX = 010 Event : 75
0x00 0010011|0011011 0x099B
0x01 0101000|0100100 0x1424
0x02 0101000|0100101 0x1425
BX = 011 Event : 76
0x00 0000001|1101011 0x00EB
0x01 0010100|0110001 0x0A31
0x02 0101000|1100001 0x1461
0x03 0101000|1100101 0x1465
0x04 0101110|1100111 0x1767
0x05 0101110|1101011 0x176B
0x06 0111000|1001001 0x1C49
BX = 100 Event : 77
BX = 101 Event : 78
0x00 0011001|0110100 0x0CB4
0x01 0101011|0100101 0x15A5
BX = 110 Event : 79
BX = 111 Event : 80
0x00 0100000|0100111 0x1027
BX = 000 Event : 81
0x00 0000110|0100101 0x0325
0x01 0011011|1001110 0x0DCE
0x02 0011110|1001110 0x0F4E
BX = 001 Event : 82
0x00 0010100|1011101 0x0A5D
BX = 010 Event : 83
0x00 0000110|0011000 0x0318
0x01 0000110|0011001 0x0319
0x02 0100111|0110011 0x13B3
BX = 011 Event : 84
BX = 100 Event : 85
0x00 0010000|0011111 0x081F
BX = 101 Event : 86
BX = 110 Event : 87
0x00 0001010|0010011 0x0513
0x01 0100011|0100000 0x11A0
BX = 111 Event : 88
0x00 0101111|1001100 0x17CC
BX = 000 Event : 89
0x00 0001000|0100101 0x0425
BX = 001 Event : 90
BX = 010 Event : 91
0x00 0100111|0111100 0x13BC
0x01 0100111|0111101 0x13BD
0x02 0101000|0111011 0x143B
0x03 0101000|0111100 0x143C
0x04 0101000|0111101 0x143D
0x05 0101001|0111011 0x14BB
0x06 0101001|0111100 0x14BC
0x07 0101001|0111101 0x14BD
BX = 011 Event : 92
BX = 100 Event : 93
0x00 0001010|0011101 0x051D
0x01 0001010|0011110 0x051E
0x02 0001110|0011110 0x071E
0x03 0111001|0111101 0x1CBD
BX = 101 Event : 94
