BX = 000 Event : 1
BX = 000 Event : 73
0x00 0000101|0001101 0x028D
0x01 0000101|0001111 0x028F
0x02 0000110|0001111 0x030F
0x03 0001111|0010011 0x0793
0x04 0010011|0010011 0x0993
0x05 0010110|0010011 0x0B13
0x06 0011011|0101011 0x0DAB
0x07 0011011|0101101 0x0DAD
0x08 0110101|0101011 0x1AAB
0x09 0110111|0101011 0x1BAB
BX = 001 Event : 74
0x00 0010110|0000101 0x0B05
0x01 0011000|0000101 0x0C05
0x02 0011010|0001011 0x0D0B
BX = 010 Event : 75
0x00 0010100|0000011 0x0A03
0x01 0010101|0000011 0x0A83
0x02 0011001|0001110 0x0C8E
0x03 0011011|0001110 0x0D8E
0x04 0011111|0001110 0x0F8E
BX = 011 Event : 76
0x00 0101111|0100001 0x17A1
0x01 0110010|0100011 0x1923
0x02 0110010|0100101 0x1925
0x03 0110010|0100110 0x1926
0x04 0110011|0100101 0x19A5
0x05 0110011|0100110 0x19A6
0x06 0110011|0100111 0x19A7
BX = 100 Event : 77
0x00 0001011|0010110 0x0596
0x01 0011010|0000000 0x0D00
0x02 0011011|0000000 0x0D80
BX = 101 Event : 78
0x00 0011110|0111010 0x0F3A
0x01 0100101|0000111 0x1287
0x02 0111010|0101101 0x1D2D
0x03 0111011|0101101 0x1DAD
BX = 110 Event : 79
0x00 0011111|0011100 0x0F9C
BX = 111 Event : 80
0x00 0000011|0010001 0x0191
0x01 0000011|0010010 0x0192
0x02 0000110|0010101 0x0315
BX = 000 Event : 81
BX = 001 Event : 82
0x00 0001011|0101100 0x05AC
0x01 0011011|0000110 0x0D86
0x02 0011011|0001001 0x0D89
0x03 0101011|0111010 0x15BA
0x04 0101011|1000001 0x15C1
BX = 010 Event : 83
0x00 0010100|0001001 0x0A09
0x01 0010101|0000011 0x0A83
0x02 0010101|0001001 0x0A89
0x03 0011000|0001001 0x0C09
0x04 0011001|0001001 0x0C89
0x05 0011010|0001001 0x0D09
BX = 011 Event : 84
0x00 0000110|0010110 0x0316
0x01 0010101|0000101 0x0A85
0x02 0010101|0001000 0x0A88
0x03 0010101|0001001 0x0A89
0x04 0010101|0001010 0x0A8A
BX = 100 Event : 85
0x00 0000000|0001111 0x000F
0x01 0000001|0001111 0x008F
0x02 0001101|0011111 0x069F
BX = 101 Event : 86
BX = 110 Event : 87
BX = 111 Event : 88
0x00 0001111|0100010 0x07A2
0x01 0010000|0100010 0x0822
0x02 0010101|0111011 0x0ABB
0x03 0100111|0110001 0x13B1
0x04 0101000|0110001 0x1431
0x05 0110000|0000010 0x1802
0x06 0110000|0111110 0x183E
BX = 000 Event : 89
BX = 001 Event : 90
BX = 010 Event : 91
0x00 0000010|0001111 0x010F
0x01 0010000|0000011 0x0803
0x02 0010000|0000111 0x0807
0x03 0010111|0001011 0x0B8B
BX = 011 Event : 92
0x00 0010111|0000101 0x0B85
0x01 0011001|0000101 0x0C85
0x02 0011010|0000101 0x0D05
0x03 0100000|0000101 0x1005
BX = 100 Event : 93
0x00 0011000|0000100 0x0C04
0x01 0011000|0001000 0x0C08
0x02 0011010|0001000 0x0D08
BX = 101 Event : 94
0x00 0001101|0001000 0x0688
0x01 0010100|0011110 0x0A1E
0x02 0010110|0011111 0x0B1F
0x03 0011000|0011111 0x0C1F
