Event : 0
64 24 40 80 38 38 31  
16 8 48 96 39 33 28  
64 80 72 80 42 35 33  
32 48 40 96 41 48 27  
16 32 24 80 37 53 27  
32 8 32 64 39 56 31  
32 32 48 80 42 48 27  
48 40 32 96 41 40 29  
16 8 48 96 39 33 28  
32 16 32 64 38 38 35  
48 16 48 96 39 45 34  
32 80 32 80 40 39 29  
48 32 40 96 41 35 33  
32 24 48 80 42 35 33  
48 48 32 80 40 38 28  
32 88 40 80 38 38 29  
16 24 32 96 36 42 30  
32 48 48 96 41 34 35  
Event : 3
32 32 64 96 41 33 41  
32 24 48 96 41 32 29  
16 96 64 64 38 43 36  
64 64 40 96 38 42 33  
32 56 24 80 40 43 27  
32 32 32 80 41 38 33  
32 24 16 64 41 35 37  
32 32 64 96 42 46 36  
32 24 48 80 41 40 33  
32 32 48 80 40 39 29  
32 64 48 80 33 37 40  
48 8 24 96 42 33 34  
48 32 32 80 42 38 28  
48 24 40 80 39 56 33  
48 32 32 96 41 49 32  
32 32 40 96 41 53 32  
16 40 40 80 40 37 27  
64 40 32 80 39 38 40  
32 40 40 96 38 32 29  
48 72 32 96 41 39 31  
48 80 32 80 41 38 33  
32 16 40 96 41 34 31  
48 16 32 96 39 34 31  
32 16 40 96 41 34 33  
64 88 64 80 41 44 39  
16 24 40 96 36 41 26  
32 24 32 64 40 36 33  
48 32 32 96 42 41 29  
32 24 48 80 40 32 33  
Event : 4
16 24 48 96 40 34 35  
16 40 48 96 38 38 36  
32 24 32 96 38 33 34  
32 64 40 96 35 40 34  
16 56 24 80 42 41 32  
64 64 24 80 37 32 39  
32 40 24 80 42 36 39  
48 32 56 96 39 32 39  
32 80 48 80 41 40 33  
32 48 56 96 39 38 34  
48 8 32 64 41 37 34  
48 40 24 80 42 42 27  
32 24 40 96 39 40 35  
32 40 40 80 39 37 31  
16 56 40 80 38 32 35  
32 56 48 96 40 34 35  
48 48 40 96 33 43 31  
32 24 48 96 41 34 33  
32 48 40 96 37 44 33  
32 64 40 96 42 47 23  
48 48 16 80 42 33 37  
48 32 48 96 37 35 23  
32 24 56 80 42 49 29  
32 24 32 96 42 51 39  
32 16 48 80 38 37 32  
16 40 24 80 41 38 34  
32 32 32 80 38 33 23  
16 48 48 96 40 33 29  
32 8 56 96 39 33 36  
Event : 5
48 32 24 80 39 38 29  
32 48 32 96 41 47 39  
