BX = 000 Event : 1
0x17 1011001|1000100 0x2CC4
BX = 011 Event : 60
BX = 100 Event : 61
0x00 0000010|0011100 0x011C
0x01 0000011|0011100 0x019C
0x02 0000100|0001010 0x020A
0x03 0000100|0001100 0x020C
0x04 0001000|0001010 0x040A
0x05 0001000|0001100 0x040C
0x06 0001100|0001010 0x060A
0x07 0010001|0000000 0x0880
0x08 0010001|0111001 0x08B9
0x09 0010010|0000000 0x0900
0x0a 0010010|0111001 0x0939
0x0b 0010011|0000000 0x0980
0x0c 0010011|0111001 0x09B9
0x0d 0010100|0000000 0x0A00
0x0e 0010100|0000010 0x0A02
0x0f 0010100|0111001 0x0A39
0x10 0101110|0110100 0x1734
0x11 0101111|0000000 0x1780
0x12 0101111|0111001 0x17B9
BX = 101 Event : 62
0x00 0001101|0011100 0x069C
0x01 0011000|0000110 0x0C06
0x02 0011000|0001010 0x0C0A
0x03 0011000|0001011 0x0C0B
0x04 0011000|0001100 0x0C0C
0x05 0011000|0001110 0x0C0E
0x06 0011011|0000110 0x0D86
0x07 0011011|0001010 0x0D8A
0x08 0011011|0001011 0x0D8B
0x09 0011011|0001100 0x0D8C
0x0a 0011011|0001110 0x0D8E
BX = 110 Event : 63
0x00 0010110|0000011 0x0B03
BX = 111 Event : 64
0x00 0011000|0000101 0x0C05
0x01 0011000|0000111 0x0C07
0x02 0011000|0001000 0x0C08
0x03 0011000|0001110 0x0C0E
0x04 0011110|0000111 0x0F07
0x05 0011110|0001000 0x0F08
0x06 0011111|0000111 0x0F87
0x07 0011111|0001000 0x0F88
0x08 0100000|0000111 0x1007
0x09 0100000|0001000 0x1008
0x0a 0100001|0000111 0x1087
0x0b 0100001|0001000 0x1088
BX = 000 Event : 65
0x00 0011010|0011110 0x0D1E
0x01 0011110|0011110 0x0F1E
BX = 001 Event : 66
0x00 0101110|0000110 0x1706
0x01 0101110|0001010 0x170A
0x02 0110011|0010000 0x1990
0x03 0110100|0010000 0x1A10
0x04 0110101|0010000 0x1A90
0x05 1011100|0000110 0x2E06
0x06 1011100|0010000 0x2E10
0x07 1011111|0000011 0x2F83
0x08 1011111|0000110 0x2F86
0x09 1011111|0010000 0x2F90
0x0a 1110100|0000011 0x3A03
0x0b 1110100|0000100 0x3A04
0x0c 1110100|0000101 0x3A05
0x0d 1110100|0000110 0x3A06
0x0e 1110100|0001010 0x3A0A
0x0f 1110100|0010110 0x3A16
BX = 010 Event : 67
