BX = 000 Event : 1
0x06 0100011|0000011|0100000010|000000101000|111011001 0x08C1A04051D9
0x07 0100011|0000100|0100001001|000001100000|001100010 0x08C22120C062
0x08 0100011|0000111|0100000000|000000000000|001111000 0x08C3A0000078
0x09 0100011|0001000|0100000011|000001100000|001110110 0x08C42060C076
0x0a 0100011|0001001|0100011001|111110110000|001011001 0x08C4A33F6059
BX = 001 Event : 26
0x00 0100010|0000010|0100000101|111111101000|000110111 0x088120BFD037
BX = 010 Event : 27
0x00 0100010|0001101|0100001111|111111100000|111000111 0x0886A1FFC1C7
0x01 0100010|0001111|0100100101|111111100000|111011011 0x0887A4BFC1DB
BX = 011 Event : 28
0x00 0100001|0010100|0100110011|000001100000|111011000 0x084A2660C1D8
0x01 0100010|0000001|0101000011|000000010000|111110111 0x0880A86021F7
0x02 0100010|0000010|0100001000|111111101000|001001001 0x0881211FD049
0x03 0100011|0000001|0100011010|111111100000|111010000 0x08C0A35FC1D0
BX = 100 Event : 29
0x00 0100010|0000000|0100100010|000000001000|111111000 0x0880244011F8
0x01 0100010|0000001|0100100010|111111110000|111010111 0x0880A45FE1D7
0x02 0100010|0000110|0100001010|111111110000|010001101 0x0883215FE08D
0x03 0100010|0001000|0100000111|000001100000|010000011 0x088420E0C083
0x04 0100010|0001010|0100100001|111111010000|111010110 0x0885243FA1D6
0x05 0100010|0001100|0100101001|000000100000|101110101 0x088625204175
BX = 101 Event : 30
0x00 0100010|0000001|0100111010|000001101000|001101000 0x0880A740D068
0x01 0100010|0000011|0100000111|000000001000|000100011 0x0881A0E01023
0x02 0100010|0000100|0100111011|000001011000|110101101 0x08822760B1AD
0x03 0100011|0000000|0100000001|111111000000|000111000 0x08C0203F8038
BX = 110 Event : 31
0x00 0100001|0000000|0100100010|111111011000|111101110 0x0840245FB1EE
0x01 0100010|0000111|0100100011|000000101000|000111100 0x0883A460503C
0x02 0100010|0001001|0100010100|000000111000|000101010 0x0884A280702A
BX = 111 Event : 32
BX = 000 Event : 33
0x00 0100010|0000000|0100001000|000001010000|000100000 0x08802100A020
0x01 0100010|0000010|0100001000|000001100000|000110101 0x08812100C035
0x02 0100010|0000011|0100110000|000000111000|001110011 0x0881A6007073
0x03 0100011|0000000|0100001010|000000000000|000101100 0x08C02140002C
0x04 0100011|0000010|0100000100|111110010000|001110101 0x08C1209F2075
BX = 001 Event : 34
BX = 010 Event : 35
BX = 011 Event : 36
0x00 0100010|0001010|0100000101|111111101000|111000111 0x088520BFD1C7
BX = 100 Event : 37
0x00 0100010|0000000|0100000000|000010101000|111111111 0x0880200151FF
0x01 0100010|0000001|0100000101|111110011000|110011001 0x0880A0BF3199
BX = 101 Event : 38
0x00 0100010|0001010|0100010110|111111101000|110001010 0x088522DFD18A
BX = 110 Event : 39
0x00 0100010|0000000|0100101000|000000001000|000010000 0x088025001010
0x01 0100010|0000001|0100101000|000000001000|000100111 0x0880A5001027
0x02 0100010|0000010|0100011011|000000001000|000100110 0x088123601026
BX = 111 Event : 40
0x00 0100010|0000000|0100101101|111110111000|110101001 0x088025BF71A9
0x01 0100010|0000001|0100001111|000000010000|000101100 0x0880A1E0202C
0x02 0100011|0000010|0100000100|111111110000|110110011 0x08C1209FE1B3
BX = 000 Event : 41
0x00 0100010|0000001|0100000001|000000001000|000110100 0x0880A0201034
0x01 0100010|0000100|0100000010|000000001000|110111101 0x0882204011BD
BX = 001 Event : 42
BX = 010 Event : 43
0x00 0100010|0000000|0100010000|000000001000|111101011 0x0880220011EB
0x01 0100010|0000001|0100010000|000000000000|001010010 0x0880A2000052
0x02 0100011|0000110|0100001010|111111101000|111000001 0x08C3215FD1C1
BX = 011 Event : 44
0x00 0100010|0000001|0100101110|111111011000|000101000 0x0880A5DFB028
0x01 0100010|0000010|0100010000|000010101000|000111010 0x08812201503A
BX = 100 Event : 45
BX = 101 Event : 46
0x00 0100010|0000000|0100110101|000000010000|111000110 0x088026A021C6
0x01 0100010|0000001|0100001011|000000010000|111011111 0x0880A16021DF
0x02 0100010|0000010|0100001110|000000001000|111110011 0x088121C011F3
0x03 0100010|0000100|0100010000|111111110000|111001110 0x0882221FE1CE
0x04 0100010|0000101|0100001111|111111100000|000101010 0x0882A1FFC02A
0x05 0100010|0000110|0100001111|111111100000|111110110 0x088321FFC1F6
0x06 0100011|0000000|0100000111|111110010000|111000110 0x08C020FF21C6
0x07 0100011|0000100|0100000011|000000010000|111010111 0x08C2206021D7
0x08 0100011|0000101|0100000011|000000010000|000011100 0x08C2A060201C
BX = 110 Event : 47
0x00 0100010|0000000|0100000110|000000010000|111110111 0x088020C021F7
0x01 0100010|0001000|0101000011|111111011000|000000000 0x0884287FB000
BX = 111 Event : 48
BX = 000 Event : 49
0x00 0100010|0000000|0100100111|000010100000|000011111 0x088024E1401F
BX = 001 Event : 50
0x00 0100010|0000001|0100100011|111111101000|110010111 0x0880A47FD197
0x01 0100010|0000111|0100001001|111111010000|111111100 0x0883A13FA1FC
0x02 0100010|0001000|0100001001|111111010000|001011001 0x0884213FA059
BX = 010 Event : 51
BX = 011 Event : 52
0x00 0100010|0000001|0100001100|111111011000|110111011 0x0880A19FB1BB
0x01 0100010|0000010|0100001100|111111100000|111010000 0x0881219FC1D0
0x02 0100011|0000000|0100001011|000000111000|111101110 0x08C0216071EE
0x03 0100011|0000100|0100001101|000000110000|000000110 0x08C221A06006
BX = 100 Event : 53
0x00 0100010|0000100|0100001011|000000110000|000111111 0x08822160603F
