BX = 000 Event : 1
0x01 0011111|0000000 0x0F80
BX = 011 Event : 36
0x00 0010001|0010010 0x0892
0x01 0010001|0010011 0x0893
0x02 0011000|0000101 0x0C05
0x03 0100001|0000101 0x1085
0x04 0101110|0110010 0x1732
0x05 0101110|0000000 0x1700
0x06 0101110|0000101 0x1705
BX = 100 Event : 37
0x00 0010111|0000110 0x0B86
0x01 0010111|0001001 0x0B89
0x02 0010111|0001100 0x0B8C
0x03 0011011|0000110 0x0D86
0x04 0011011|0001001 0x0D89
0x05 0011110|0000000 0x0F00
0x06 0011111|0000000 0x0F80
0x07 0100000|0000000 0x1000
0x08 0100100|0000000 0x1200
BX = 101 Event : 38
0x00 0011100|0000011 0x0E03
0x01 0101000|0000101 0x1405
BX = 110 Event : 39
0x00 0011010|0001101 0x0D0D
0x01 0011011|0011001 0x0D99
BX = 111 Event : 40
0x00 0011110|0001010 0x0F0A
0x01 0011111|0000111 0x0F87
0x02 0011111|0001010 0x0F8A
0x03 0100000|0001010 0x100A
0x04 0100110|0001010 0x130A
0x05 0110000|0010110 0x1816
0x06 0110001|0010110 0x1896
0x07 0110010|0001111 0x190F
0x08 0110011|0010110 0x1996
0x09 0110100|0001111 0x1A0F
0x0a 0111000|0001011 0x1C0B
0x0b 0111000|0001111 0x1C0F
0x0c 0111001|0000111 0x1C87
0x0d 0111001|0001010 0x1C8A
0x0e 0111010|0000111 0x1D07
0x0f 0111010|0001010 0x1D0A
BX = 000 Event : 41
0x00 0111110|0110100 0x1F34
0x01 0111111|0110100 0x1FB4
0x02 1001010|0000010 0x2502
0x03 1001011|0000010 0x2582
0x04 1010110|0000010 0x2B02
BX = 001 Event : 42
0x00 0010000|0101000 0x0828
0x01 0010011|1011000 0x09D8
0x02 0010100|1100001 0x0A61
0x03 0010101|1100001 0x0AE1
0x04 0100000|1011000 0x1058
BX = 010 Event : 43
0x00 0100000|0010000 0x1010
0x01 0100001|0010000 0x1090
0x02 0100010|0010000 0x1110
0x03 0100011|0010000 0x1190
0x04 0101101|0010000 0x1690
