BX = 000 Event : 1
05 010|1110001|001010011001|11000001110101
06 101|1110000|000111111110|11111000100101
07 010|1100100|001110110000|10101110110011
08 101|1110010|000011101110|10100110000110
09 110|1101010|001001010100|01101010001110
0a 001|0100000|000100000011|01011110001110
0b 001|0010101|001001111101|01101000111111
0c 110|0001111|000010101111|00000001011001
0d 111|0010010|000111100001|01001010011111
0e 111|1110000|001010011001|11000010011100
0f 000|1110010|000011011100|10011101101001
10 111|0011100|001111011101|00100010010000
11 000|0011110|000001011110|01001001101110
12 111|1100011|000000010001|11001100111100
13 111|1110001|000110001111|10101111011010
14 000|1110011|000110001101|10001110100111
15 000|0100010|001010100001|01101101011101
16 000|1110011|000100000011|10001111110101
17 111|1110001|000011001010|10101011101110
18 000|0011100|001010011001|00011111000000
BX = 110 Event : 7
00 011|1110001|001010010110|10110101110010
01 011|1100101|001110101011|10011101001110
02 100|0010001|001001110101|01000001010101
03 011|1110001|001010011011|10111011011100
04 010|1110000|001000101111|11110010101011
05 010|1110001|000110011111|10110000011001
06 010|1101001|000000100110|01110011100101
07 101|1100100|000000100011|11000000100011
08 101|1100101|000010011111|10100100001100
09 110|0001111|000100101100|00011110001110
0a 111|1110010|000100000000|10100011111000
0b 000|1110110|000000101000|01110010101010
0c 000|0100010|001111101010|01101101101100
0d 000|0010000|000000011001|00111001010101
0e 111|1110000|000111111110|11000100100010
0f 111|1110000|001111010101|11011110110111
10 000|0011101|001000010111|00111011101111
11 000|1100011|000010000011|11110010010000
BX = 111 Event : 8
00 011|0011101|001111100101|00110111001111
01 100|0011110|001001000001|01000011100111
02 010|1110110|001000001101|01110001111100
03 010|1110000|000110011111|11111000001101
04 010|1100110|000111100110|10010000111010
05 010|0010001|001110001100|00111100101000
06 010|1110011|000110000010|10010110101011
07 001|1100101|001110101011|10100000100101
08 001|0001111|000111101001|00010011110101
09 001|1110110|000110010111|01110000111110
0a 001|1110001|000011011100|11000000000111
0b 001|1110000|001010100001|11011011101010
0c 000|1101001|000000001100|01110111101010
0d 000|1100100|001001110101|10110010110011
0e 000|1110010|000011010111|10011111110110
0f 111|1100101|000100100100|10011011110110
10 111|0001111|001001010110|00100001100001
11 111|0011101|001010100011|00111000111110
12 000|0011100|000110010100|00010110110111
13 000|1110000|001111001101|11011101010001
14 000|0011101|000001011110|00110001110010
BX = 000 Event : 9
00 011|1110101|001011001100|01111001011101
01 011|1110110|001100110000|01110000001111
02 011|1100100|000100101100|10110000110011
03 100|0011100|000001001110|00001110011000
04 011|0011100|000001101010|00010000011110
