BX = 000 Event : 1
BX = 001 Event : 2
00 000|001110|0111|110|11
01 000|010010|1011|110|11
BX = 001 Event : 26
00 011|000000|1010|010|11
01 010|000101|0001|111|11
02 001|001001|1101|101|11
BX = 010 Event : 27
00 101|000101|0000|111|11
01 000|010001|1011|101|11
02 111|011011|1110|000|11
BX = 011 Event : 28
00 101|000111|0101|100|11
01 010|001000|1011|001|11
02 000|001111|1111|000|11
BX = 100 Event : 29
00 011|000000|1010|010|11
01 100|000001|0111|101|11
02 001|000101|1000|101|11
03 000|001000|1011|111|11
04 111|001110|0001|011|11
BX = 101 Event : 30
00 110|001010|0110|101|11
BX = 110 Event : 31
00 111|011001|1111|010|11
BX = 111 Event : 32
00 011|000010|1011|010|11
01 011|000100|1001|010|11
02 010|000101|1011|001|11
03 010|000110|0100|111|11
04 000|001011|0001|011|11
05 000|010000|1000|100|11
BX = 000 Event : 33
00 011|000101|1100|010|11
01 101|001010|1011|110|11
02 001|001011|0000|001|11
03 001|001111|0010|011|11
04 111|010010|1001|110|11
BX = 001 Event : 34
00 010|001011|0011|100|11
01 010|001101|1011|111|11
02 000|010101|1011|111|11
03 111|010110|0100|010|11
BX = 010 Event : 35
BX = 011 Event : 36
00 010|000100|0111|000|11
01 111|010011|0101|011|11
BX = 100 Event : 37
00 100|000010|0111|111|11
01 111|001101|1010|111|11
02 111|010100|1011|001|11
03 111|010101|0101|000|11
BX = 101 Event : 38
00 011|000000|0001|111|11
01 011|000001|1010|010|11
02 001|001000|0011|011|11
03 000|001011|0111|111|11
04 000|001111|1101|101|11
05 111|010111|1011|000|11
BX = 110 Event : 39
00 111|001111|0001|001|11
BX = 111 Event : 40
00 011|000010|0010|101|11
01 100|000011|0010|101|11
02 111|010100|0110|101|11
03 111|011000|0010|010|11
BX = 000 Event : 41
00 011|000010|0101|101|11
01 010|000100|1111|001|11
02 110|001010|1110|001|11
03 111|001111|0010|110|11
04 000|010101|0010|110|11
BX = 001 Event : 42
00 000|001001|0000|010|11
BX = 010 Event : 43
00 100|000000|0110|110|11
01 101|000011|1100|100|11
02 010|000100|1000|110|11
03 010|000101|0101|111|11
BX = 011 Event : 44
00 010|000101|0010|001|11
01 010|000110|0011|000|11
02 101|001001|0110|011|11
BX = 100 Event : 45
BX = 101 Event : 46
00 011|000001|1111|100|11
01 010|000101|1010|110|11
02 110|001110|0111|101|11
03 111|010100|0010|011|11
04 111|010101|1111|011|11
05 000|010110|0101|101|11
